Anime_id,Title,Genre,Synopsis,Type,Producer,Studio,Rating
22,Tennis no Ouji-sama,"['Action', 'Comedy', 'Sports', 'School', 'Shounen']","The world of tennis is harsh and highly competitive. Numerous schools from Japan battle it out to determine the best of the best.  
 
Seishun Gakuen Junior High School, more commonly known as Seigaku, is one of the most prominent contestants in this battle of the finest. Their team line-up gets even stronger with the sudden arrival of a young prodigy from the West, Ryouma Echizen, who is determined to prove himself and escape the towering shadow of his legendary father. This fine addition changes the team forever. 
 
 Prince of Tennis  follows the heartwarming and inspirational story of Ryouma on his quest to become one of the best tennis players the country has ever seen. He pushes himself hard so that he can one day surpass his father’s name and his own personal expectations. Alongside the rest of the Seigaku team, Ryouma fights to make his and his teammate's dreams come true.",TV,"['Production I.G', 'Nihon Ad Systems']",['Trans Arts'],8.01
24,School Rumble,"['Comedy', 'Romance', 'School', 'Shounen']","Just the words ""I love you,"" and everything changes—such is the nature of the bittersweet trials of high school romance. Tenma Tsukamoto, a second year, is on a quest to confess her feelings to the boy she likes. Kenji Harima, a delinquent with a sizable reputation, is in a similar situation, as he cannot properly convey his feelings to the one he loves. Between school, friends, rivalries, and hobbies, these two will find that high school romance is no walk in the park, especially as misunderstandings further complicate their plight. 
 
 School Rumble  is a high-octane romantic comedy full of relatable situations, as Tenma and Kenji both try to win the hearts of those they desire. 
 
[Written by MAL Rewrite]",TV,"['TV Tokyo', 'Sotsu', 'Marvelous', 'Starchild Records', 'Media Factory', 'DAX Production', 'Studio Jack']",['Studio Comet'],8.02
25,Sunabouzu,"['Action', 'Adventure', 'Comedy', 'Ecchi', 'Sci-Fi', 'Shounen']","The Great Kanto Desert, a sweltering wasteland of nothing but ruins and sand, is all that remains of post-apocalyptic Japan. The once fair population has been left to cling to the inhospitable dunes for survival. At least, that is the case for normal people. For those who have spent a little too long in the Kanto sun, the desert offers a wondrous opportunity to make a name for themselves. 
 
One such person is the masked handyman ""Sunabouzu,"" or Desert Punk, who has forged a legendary reputation for always finishing his jobs, no matter the nature or cost. Cunning and ruthless, he has become a force of crude destruction to the other desert people. However, the ""Vixen of the Desert,"" Junko Asagiri, discovers that Sunabouzu is not without his weaknesses—he is easily swayed by his insatiable lust for large-breasted desert babes.  
 
Following their chaotic adventures through the Kanto Desert,  Sunabouzu  features a bizarre cast of personalities who entertain themselves with senseless violence and perversion in a world long destroyed by their forefathers. And just like them, they have not learned a damn thing. 
 
[Written by MAL Rewrite]",TV,"['GDH', 'Pony Canyon', 'CBC']",['Gonzo'],7.52
26,Texhnolyze,"['Action', 'Sci-Fi', 'Psychological', 'Drama']","Texhnolyze  takes place in the city of Lux, a man-made underground city that has crumbled after years of neglect and lack of repairs. Citizens of Lux have come to refer to their home as simply ""The City"" and treat it as though it has a mind and will of its own. Three major factions battle to control Lux: Organo, a group of ""professionals"" who collaborate with the criminal underworld that controls Texhnolyze (prosthetics), the Salvation Union, a populist group that seeks to disrupt Organo's business, and Racan, a collection of young individuals with Texhnolyzes that use their abilities for personal gain. 
 
Ichise was once an orphan who has made a place for himself in Lux as a prize fighter. One day, a fight promoter grows angry with him and the altercation that follows results in Ichise losing an arm and a leg. Before death can take him, Ichise is found by the scientist Eriko Kamata, who uses him as a test subject for her newly designed Texhnolyze. With these powerful new limbs at his disposal, Ichise begins to work for Oonishi, the leader of Organo. He soon meets a mysterious young girl, Ran, who has the power to see possible futures. Together, they soon realize that Lux is on the brink of war and collapse, and that they may be the only ones who can save The City.",TV,"['Group TAC', 'Rondo Robe', 'Fuji TV', 'Pioneer LDC']",['Madhouse'],7.78
26,Texhnolyze,"['Action', 'Sci-Fi', 'Psychological', 'Drama']","Texhnolyze  takes place in the city of Lux, a man-made underground city that has crumbled after years of neglect and lack of repairs. Citizens of Lux have come to refer to their home as simply ""The City"" and treat it as though it has a mind and will of its own. Three major factions battle to control Lux: Organo, a group of ""professionals"" who collaborate with the criminal underworld that controls Texhnolyze (prosthetics), the Salvation Union, a populist group that seeks to disrupt Organo's business, and Racan, a collection of young individuals with Texhnolyzes that use their abilities for personal gain. 
 
Ichise was once an orphan who has made a place for himself in Lux as a prize fighter. One day, a fight promoter grows angry with him and the altercation that follows results in Ichise losing an arm and a leg. Before death can take him, Ichise is found by the scientist Eriko Kamata, who uses him as a test subject for her newly designed Texhnolyze. With these powerful new limbs at his disposal, Ichise begins to work for Oonishi, the leader of Organo. He soon meets a mysterious young girl, Ran, who has the power to see possible futures. Together, they soon realize that Lux is on the brink of war and collapse, and that they may be the only ones who can save The City.",TV,"['Group TAC', 'Rondo Robe', 'Fuji TV', 'Pioneer LDC']",['Madhouse'],7.78
28,Yakitate!! Japan,"['Comedy', 'Shounen']","Yakitate means ""fresh baked"", but the word ""Japan"" is actually a pun - pan means bread in Japanese, so Kazuma is out to make Japan, a unique Japanese bread to compete with the best bread from around the world! 
 
Azuma became obsessed with bread when he was six years old. His sister yelled that their family should start having bread for breakfast sometimes, but their grandfather refused to even consider it, as he would only eat natto, miso soup, and rice for breakfast. Kazuma agreed, saying he didn`t like bread, but his sister kidnaps him and takes him to a bread store to show him the wonders of fresh-baked bread. Not only is Kazuma converted, but the owner discovers that Kazuma has the magical ""Hands of the Sun"" whose warmth makes them particularly suited to making bread. The owner packs up shop and goes to Tokyo to fulfill his dream of making Japan, but Kazuma continues his bread-baking dream as well, and ends up going to Tokyo himself when he`s sixteen, to compete for a spot at the foremost bread store in Japan - Pantasia! 
",TV,"['TV Tokyo', 'Aniplex', 'd-rights', 'Tohokushinsha Film Corporation', 'Atelier Musa']",['Sunrise'],8.02
29,Zipang,"['Action', 'Military', 'Sci-Fi', 'Historical', 'Drama', 'Seinen']","Mirai, an improved Kongou-class Aegis guided missile destroyer, is one of the newest and most advanced ships in the entire Japanese Self Defense Force (SDF). Her crew, also one of the newest, is lead by Capt. Umezu Saburo and Executive Officer Kadomatsu Yosuke. While running scheduled training exercises one day, Mirai encounters a fierce storm that throws their navigation systems into temporary disarray. After a few minutes of recovery, the crew is shocked to discover that they've been transported back in time to June 4, 1942—The Battle of Midway, during World War II. Letting history take its course for this battle, they manage to avoid the conflict firsthand and make a vow to remain anonymous, changing history as little as possible. However, when the crew comes across the dying Lt. Commander Kusaka Takumi, XO. Kadomatsu's instincts to save lives takes over, changing the course of history more than he could've imagined. 
 
(Source: ANN)",TV,"['Marvelous', 'TBS']",['Studio Deen'],7.54
30,Neon Genesis Evangelion,"['Action', 'Sci-Fi', 'Dementia', 'Psychological', 'Drama', 'Mecha']","In the year 2015, the world stands on the brink of destruction. Humanity's last hope lies in the hands of Nerv, a special agency under the United Nations, and their Evangelions, giant machines capable of defeating the Angels who herald Earth's ruin. Gendou Ikari, head of the organization, seeks compatible pilots who can synchronize with the Evangelions and realize their true potential. Aiding in this defensive endeavor are talented personnel Misato Katsuragi, Head of Tactical Operations, and Ritsuko Akagi, Chief Scientist. 
 
Face to face with his father for the first time in years, 14-year-old Shinji Ikari's average life is irreversibly changed when he is whisked away into the depths of Nerv, and into a harrowing new destiny—he must become the pilot of Evangelion Unit-01 with the fate of mankind on his shoulders. 
 
Written by Hideaki Anno,  Neon Genesis Evangelion  is a heroic tale of a young boy who will become a legend. But as this psychological drama unfolds, ancient secrets beneath the big picture begin to bubble to the surface... 
 
[Written by MAL Rewrite]",TV,"['TV Tokyo', 'Kadokawa Shoten', 'Nihon Ad Systems', 'Audio Tanaka']","['Gainax', 'Tatsunoko Production']",8.32
31,Neon Genesis Evangelion: Death & Rebirth,"['Drama', 'Mecha', 'Psychological', 'Sci-Fi']","In the year 2015, more than a decade has passed since the catastrophic event known as Second Impact befell mankind. During this time of recovery, a select few learned of beings known as the Angels—colossal malevolent entities with the intention of triggering the Third Impact and wiping out the rest of humanity. 
 
Called into the city of Tokyo-3 by his father Gendou Ikari, teenager Shinji is thrust headlong into humanity's struggle. Separated from Gendou since the death of his mother, Shinji presumes that his father wishes to repair their shattered familial bonds; instead, he discovers that he was brought to pilot a giant machine capable of fighting the Angels, Evangelion Unit-01. Forced to battle against wave after wave of mankind's greatest threat, the young boy finds himself caught in the middle of a plan that could affect the future of humanity forever. 
 
[Written by MAL Rewrite]",Movie,"['Movic', 'Sega', 'TV Tokyo Music', 'Audio Tanaka']","['Gainax', 'Production I.G']",7.5
32,Neon Genesis Evangelion: The End of Evangelion,"['Sci-Fi', 'Dementia', 'Psychological', 'Drama', 'Mecha']","With the final Angel vanquished, Nerv has one last enemy left to face—the humans under Seele's command. 
 
Left in a deep depression nearing the end of the original series, an indecisive Shinji Ikari struggles with the ultimatum presented to him: to completely accept mankind's existence, or renounce humanity's individuality. Meanwhile, at the core of a compromised Nerv, Gendou Ikari and Rei Ayanami approach Lilith in an attempt to realize their own ideals concerning the future of the world. 
 
 The End of Evangelion  serves as an alternate ending to the polarizing final episodes of  Neon Genesis Evangelion . With the fate of the universe hanging in the balance, the climactic final battle draws near. 
 
[Written by MAL Rewrite]",Movie,"['TV Tokyo', 'Toei Animation', 'Kadokawa Shoten', 'Movic', 'Sega', 'TV Tokyo Music', 'Audio Tanaka']","['Gainax', 'Production I.G']",8.48
33,Kenpuu Denki Berserk,"['Action', 'Adventure', 'Demons', 'Drama', 'Fantasy', 'Horror', 'Military', 'Romance', 'Seinen', 'Supernatural']","Born from the corpse of his mother, a young mercenary known only as Guts, embraces the battlefield as his only means of survival. Day in and day out, putting his life on the line just to make enough to get by, he moves from one bloodshed to the next. 
 
After a run-in with the Band of the Hawk, a formidable troop of mercenaries, Guts is recruited by their charismatic leader Griffith, nicknamed the ""White Hawk."" As he quickly climbed the ranks in order to become the head of the offensive faction, Guts proves to be a mighty addition to Griffith's force, taking Midland by storm. However, while the band's quest for recognition continues, Guts slowly realizes that the world is not as black-and-white as he once assumed. 
 
Set in the medieval era,  Kenpuu Denki Berserk  is a dark, gritty tale that follows one man's struggle to find his own path, while supporting another's lust for power, and the unimaginable tragedy that begins to turn the wheels of fate. 
 
[Written by MAL Rewrite]",TV,"['VAP', 'Hakusensha', 'Nippon Television Network']",['OLM'],8.45
43,Koukaku Kidoutai,"['Action', 'Sci-Fi', 'Police', 'Psychological', 'Mecha', 'Seinen']","In the year 2029, Niihama City has become a technologically advanced metropolis. Due to great improvements in cybernetics, its citizens are able to replace their limbs with robotic parts. The world is now more interconnected than ever before, and the city's Public Security Section 9 is responsible for combating corruption, terrorism, and other dangerous threats following this shift towards globalization. 
 
The strong-willed Major Motoko Kusanagi of Section 9 spearheads a case involving a mysterious hacker known only as the ""Puppet Master,"" who leaves a trail of victims stripped of their memories. Like many in this futuristic world, the Puppet Master's body is almost entirely robotic, giving them incredible power.  
 
As Motoko and her subordinates follow the enigmatic criminal's trail, other parties—including Section 6—start to get involved, forcing her to confront the extremely complicated nature of the case. Pondering about various philosophical questions, such as her own life's meaning, Motoko soon realizes that the one who will provide these answers is none other than the Puppet Master themself. 
 
[Written by MAL Rewrite]",Movie,"['Bandai Visual', 'Kodansha']",['Production I.G'],8.35
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,"['Action', 'Historical', 'Drama', 'Romance', 'Martial Arts', 'Samurai']","When mankind's savagery surpasses his fear of death, there is little hope for those who wish to live honest lives. Beneath a full moon, a young boy witnesses the murder of the bandits who had enslaved him, and is then christened with a new name by the man who rescued him. This boy is Shinta, now known as Kenshin Himura, and he is destined to become a swordsman. The softness of his heart does not befit the occupation, but his desire to protect the innocent is absolute. 
 
 Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen  details the origins of the man who would bear the name of Hitokiri Battousai long before he swore his oath not to kill and before he earned his reputation as an assassin. The young man’s heart is divided between justice and corruption, while the fate of a nation rests on his actions. 
 
[Written by MAL Rewrite]",OVA,['Aniplex'],['Studio Deen'],8.79
45,Rurouni Kenshin: Meiji Kenkaku Romantan,"['Action', 'Adventure', 'Comedy', 'Historical', 'Romance', 'Samurai']","In the final years of the Bakumatsu era lived a legendary assassin known as Hitokiri Battousai. Feared as a merciless killer, he was unmatched throughout the country, but mysteriously disappeared at the peak of the Japanese Revolution. It has been ten peaceful years since then, but the very mention of Battousai still strikes terror into the hearts of war veterans. 
 
Unbeknownst to them, Battousai has abandoned his bloodstained lifestyle in an effort to repent for his sins, now living as Kenshin Himura, a wandering swordsman with a cheerful attitude and a strong will. Vowing never to kill again, Kenshin dedicates himself to protecting the weak. One day, he stumbles across Kaoru Kamiya at her kendo dojo, which is being threatened by an impostor claiming to be Battousai. After receiving help from Kenshin, Kaoru allows him to stay at the dojo, and so the former assassin temporarily ceases his travels. 
 
 Rurouni Kenshin: Meiji Kenkaku Romantan  tells the story of Kenshin as he strives to save those in need of saving. However, as enemies from both past and present begin to emerge, will the reformed killer be able to uphold his new ideals? 
 
[Written by MAL Rewrite]",TV,"['Aniplex', 'SME Visual Works', 'Fuji TV']","['Studio Gallop', 'Studio Deen']",8.4
46,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,"['Samurai', 'Historical', 'Drama', 'Shounen']","The war against the Tokugawa Shogunate ended years ago. But there are some who are not happy with the outcome. Shigure Takimi watched his friends and family get slashed down in the name of freedom and prosperity. Now he and a band of desperate rebels have sworn to settle one final score. Only one man stands in their way: Kenshin Himura. But when Shigure discovers Kenshin's true identity as the Hitokiri Battousai, his fight becomes a personal vendetta. 
 
(Source: ANN)",Movie,"['Fuji TV', 'Sony Music Entertainment']",['Studio Gallop'],7.63
47,Akira,"['Action', 'Military', 'Sci-Fi', 'Adventure', 'Horror', 'Supernatural']","Japan, 1988. An explosion caused by a young boy with psychic powers tears through the city of Tokyo and ignites the fuse that leads to World War III. In order to prevent any further destruction, he is captured and taken into custody, never to be heard from again. Now, in the year 2019, a restored version of the city known as Neo-Tokyo—an area rife with gang violence and terrorism against the current government—stands in its place. Here, Shoutarou Kaneda leads ""the Capsules,"" a group of misfits known for riding large, custom motorcycles and being in constant conflict with their rivals ""the Clowns."" 
 
During one of these battles, Shoutarou's best friend Tetsuo Shima is caught up in an accident with an esper who finds himself in the streets of Tokyo after escaping confinement from a government institution. Through this encounter, Tetsuo begins to develop his own mysterious abilities, as the government seeks to quarantine this latest psychic in a desperate attempt to prevent him from unleashing the destructive power that could once again bring the city to its knees. 
 
[Written by MAL Rewrite]",Movie,"['Mainichi Broadcasting System', 'Kodansha', 'Toho']",['Tokyo Movie Shinsha'],8.16
48,.hack//Sign,"['Game', 'Sci-Fi', 'Adventure', 'Mystery', 'Magic', 'Fantasy']","A young wavemaster, only known by the alias of Tsukasa, wakes up in an MMORPG called The World, with slight amnesia. He does not know what he has previously done before he woke up. In The World, the Crimson Knights suspects him of being a hacker, as he was seen accompanying a tweaked character in the form of a cat. Unable to log out from the game, he wanders around looking for answers, avoiding the knights and other players he meets along the way. 
 
As Tsukasa explores The World, he stumbles upon a magical item that takes the form of a ""guardian,"" which promises him protection from all harm. Subaru, the leader of the Crimson Knights, along with several other players who became acquainted with Tsukasa, set out to investigate why Tsukasa is unable to log out, and attempt to get to the bottom of the problem before it gets out of hand. 
 
[Written by MAL Rewrite]",TV,"['Bandai Visual', 'Yomiko Advertising', 'Bandai', 'CyberConnect2']",['Bee Train'],7.09
49,Aa! Megami-sama!,"['Comedy', 'Magic', 'Romance', 'Seinen', 'Supernatural']","When college student Keiichi Morisato dials the wrong number while ordering for some food at his dormitory, he accidentally gets connected to the Goddess Hotline and a beautiful goddess named Belldandy appears out of a mirror in front of him. After getting kicked out of the dorm, Keiichi and Belldandy move to an old shrine and soon afterwards, Belldandy's sisters Urd and Skuld move in. ",OVA,"['Bandai Visual', 'KSS', 'Pony Canyon', 'TBS', 'Kodansha', 'Half H.P Studio', 'Nichion']",['AIC'],7.38
50,Aa! Megami-sama! (TV),"['Comedy', 'Supernatural', 'Magic', 'Romance', 'Seinen']","In a world where humans can have their wish granted via the Goddess Help Hotline, a human, Keiichi Morisato, summons the Goddess Belldandy by accident and jokes that she should stay with him forever. Unfortunately for him, his ""wish"" is granted. 
 
Suddenly, Keiichi is now living with this gorgeous woman all alone, causing him to be kicked out of the all-male dormitory he was staying in. But soon, after they find lodging in a Buddhist temple, Keiichi and Belldandy's relationship begins to blossom. Although they are both awkward and rather uncomfortable with one another at first, what awaits these two strangers could turn out to be an unexpected romance. 
 
[Written by MAL Rewrite]",TV,"['Bandai Visual', 'TBS']",['AIC'],7.43
51,Tenshi Kinryouku,"['Action', 'Drama', 'Romance', 'Shoujo', 'Supernatural']","Setsuna Mudo is a 16-year-old high school student just trying to get by without running afoul of his bullying seniors. It doesn't help that he's in love with his younger sister, Sara, who only sees him once a month. But there's more to his life than just keeping his head down. 
 
Setsuna is ambushed by mysterious beings, angels, and demons, all professing to know his true destiny. The angels say he is the reincarnation of their leader Alexiel, while the demons claim he led them to war against God himself. 
 
As Setsuna struggles with his identity in such strange times, the eternal conflict between Heaven and Hell threatens to reignite. Will he be prepared when it does?",OVA,"['Bandai Visual', 'AIC', 'Lantis', 'Audio Tanaka']",['Hal Film Maker'],6.42
52,Kidou Tenshi Angelic Layer,"['Sci-Fi', 'Comedy', 'Sports', 'Drama', 'Shounen']","12-year-old Misaki Suzuhara has just gotten involved in Angelic Layer, a battling game using electronic dolls called angels. Even as a newbie, Misaki shows advanced skills as she meets new friends and enters Angelic Layer tournaments to fight the greatest Angelic Layer champions of the nation.",TV,['TV Tokyo Music'],['Bones'],7.31
53,Ai Yori Aoshi,"['Comedy', 'Drama', 'Harem', 'Romance', 'Slice of Life']","Kaoru Hanabishi, a college student who lives alone, met a beautiful but bewildered girl dressed in a kimono at a train station. He volunteered to guide her way to the address she was looking for, which happened to be in his neighborhood, but turned out to be an empty lot. Not knowing what to do next, Kaoru invited the devastated girl to his apartment and asked for any additional clues to her destination. She supplied him with a photo of two children whom Kauru immediately identified as himself and Aoi Sakuraba, his childhood friend. It turned out that the girl in front of him is Aoi Sakuraba herself, his betrothed fiancee who came all the way to Tokyo to marry him. Her revelation was not only surprising but also reminded the deepest part of Kaoru's memory for why he left the Hanabishi family in the first place.",TV,"['Movic', 'Fuji TV', 'Pioneer LDC', 'Cosmic Ray']",['J.C.Staff'],7.21
54,Appleseed (Movie),"['Action', 'Military', 'Sci-Fi', 'Police', 'Drama', 'Mecha', 'Shounen']","Growing out of the chaos of a global war, the city of Utopia is populated by humans and bioroids (artificial humans). On the surface, everything is harmonious, but tensions lurk. Into this seemingly perfect society comes a survivor of the wars, Deunan Knute, who carries a legacy that will turn out to be of critical importance to the future of humanity.  
 
(Source: ANN) 
",Movie,"['Mainichi Broadcasting System', 'Toho', 'TYO Animations', 'TYO']",['Digital Frontier'],7.19
55,Arc the Lad,"['Action', 'Adventure', 'Fantasy', 'Horror', 'Sci-Fi']","The story follows Elk, a bounty hunter in some strange futuristic world. On this world archaic but advanced technology exists side by side with primitive attitudes, beasts and magic. In other words it's got a bit of everything. It also has an evil conspiracy who are able to produce powerful monsters called chimera, who can also appear as human. Naturally it is not long before Elk has rescued a young female beast-master and gained himself some serious enemies.  
 
(Source: ANN)",TV,"['Sony Pictures Entertainment', 'Aniplex']",['Bee Train'],6.6
